parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Nickel PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00023,Knoxville TN
Carbon tetrachloride,2007,Parts per billion Carbon,0.11,Napa CA
Dichloromethane,2010,Parts per billion Carbon,0.1,Evansville IN-KY
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Chromium PM2.5 LC,1991,Micrograms/cubic meter (LC),0,
12-Dichloropropane,2011,Parts per billion Carbon,0,Oklahoma City OK
Dichloromethane,2006,Parts per billion Carbon,0.27,New Orleans-Metairie LA
Chromium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Boston-Cambridge-Newton MA-NH
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Acetaldehyde,1996,Parts per billion Carbon,1.4,Providence-Warwick RI-MA
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00185,Savannah GA
Dichloromethane,1996,Parts per billion Carbon,0,Midland MI
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00024,Flagstaff AZ
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Sierra Vista-Douglas AZ
Chloroform,2004,Parts per billion Carbon,0.38,Chicago-Naperville-Elgin IL-IN-WI
Cadmium (TSP) STP,2002,Micrograms/cubic meter (25 C),0.00299,Portland-Vancouver-Hillsboro OR-WA
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Elko NV
Benzene,2003,Parts per billion Carbon,1.155,Providence-Warwick RI-MA
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0.01,Birmingham-Hoover AL
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Roswell NM
Beryllium (TSP) STP,2015,Nanograms/cubic meter (25 C),0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),0.001,Riverside-San Bernardino-Ontario CA
cis-13-Dichloropropene,2003,Parts per billion Carbon,0.15,Oxnard-Thousand Oaks-Ventura CA
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.0034,Seattle-Tacoma-Bellevue WA
Cadmium PM10 STP,1995,Nanograms/cubic meter (25 C),0,
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00588,Ithaca NY
Lead PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00256,Berlin NH-VT
Acrolein - Unverified,2014,Parts per billion Carbon,0.35,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Cadmium PM10 STP,1994,Nanograms/cubic meter (25 C),0,
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Visalia-Porterville CA
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.0024,Seattle-Tacoma-Bellevue WA
Cadmium (TSP) STP,1997,Micrograms/cubic meter (25 C),0,Wichita KS
Acetaldehyde,2006,Parts per billion Carbon,3.4,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Chicago-Naperville-Elgin IL-IN-WI
Ethylene dibromide,2001,Parts per billion Carbon,0,Providence-Warwick RI-MA
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0,
Chloroform,2011,Parts per billion Carbon,0.03,Houston-The Woodlands-Sugar Land TX
Benzene,2016,Parts per billion Carbon,3.243478,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Benzene,2000,Parts per billion Carbon,0.808333,New York-Newark-Jersey City NY-NJ-PA
Cadmium PM10 STP,2006,Nanograms/cubic meter (25 C),0.1,Beaver Dam WI
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Winona MN
Ethylene dibromide,2002,Parts per billion Carbon,0,Sioux Falls SD
Ethylene dibromide,2001,Parts per billion Carbon,0,Alexandria MN
Nickel (TSP) STP,1993,Micrograms/cubic meter (25 C),0.012,Chicago-Naperville-Elgin IL-IN-WI
Formaldehyde,2008,Parts per billion Carbon,0.6,Stockton-Lodi CA
Ethylene dibromide,2012,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,1994,Micrograms/cubic meter (LC),0.0002,
Benzene,2005,Parts per billion Carbon,3,Dallas-Fort Worth-Arlington TX
13-Butadiene,1997,Parts per billion Carbon,0,Laredo TX
Formaldehyde,2010,Parts per billion Carbon,0.322,Seattle-Tacoma-Bellevue WA
Cadmium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Cedar Rapids IA
Ethylene dibromide,2016,Parts per billion Carbon,0,San Jose-Sunnyvale-Santa Clara CA
12-Dichloropropane,1997,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Formaldehyde,2008,Parts per billion Carbon,1,Minneapolis-St. Paul-Bloomington MN-WI
13-Butadiene,1993,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Ethylene dibromide,2003,Parts per billion Carbon,0.01,El Paso TX
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0.002,
Acetaldehyde,2001,Parts per billion Carbon,0.8,Duluth MN-WI
Nickel (TSP) STP,1999,Micrograms/cubic meter (25 C),0,Georgetown SC
13-Butadiene,2009,Parts per billion Carbon,0.3,Evansville IN-KY
Chloroform,1997,Parts per billion Carbon,0.1,Beaumont-Port Arthur TX
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.005,Sacramento--Roseville--Arden-Arcade CA
Lead PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00022,
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Denver-Aurora-Lakewood CO
1122-Tetrachloroethane,2014,Parts per billion Carbon,0.01,
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00037,
Arsenic (TSP) STP,1993,Micrograms/cubic meter (25 C),0,Oxnard-Thousand Oaks-Ventura CA
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
Dichloromethane,2004,Parts per billion Carbon,0.01,Beaumont-Port Arthur TX
Ethylene dibromide,2013,Parts per billion Carbon,0,St. Louis MO-IL
Nickel PM10 STP,2012,Nanograms/cubic meter (25 C),0.61,Chicago-Naperville-Elgin IL-IN-WI
13-Butadiene,2005,Parts per billion Carbon,0,Cincinnati OH-KY-IN
cis-13-Dichloropropene,2003,Parts per billion Carbon,0.02,Corpus Christi TX
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00034,New Orleans-Metairie LA
Nickel PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Branson MO
Chloroform,1998,Parts per billion Carbon,0,Longview TX
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Portland-South Portland ME
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Montgomery AL
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
Cadmium (TSP) STP,1991,Micrograms/cubic meter (25 C),0.003,Denver-Aurora-Lakewood CO
Cadmium PM10 STP,2005,Nanograms/cubic meter (25 C),0.02,La Grande OR
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Knoxville TN
Benzene,2013,Parts per billion Carbon,2.06,
trans-13-Dichloropropene,2001,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0.0029,Cleveland-Elyria OH
Chromium PM10 STP,1993,Nanograms/cubic meter (25 C),10,Kalamazoo-Portage MI
Tetrachloroethylene,2006,Parts per billion Carbon,0.16,El Paso TX
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.002,Fresno CA
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Flagstaff AZ
Benzene,2009,Parts per billion Carbon,1.38,Washington-Arlington-Alexandria DC-VA-MD-WV
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.002,Birmingham-Hoover AL
Nickel (TSP) STP,2002,Micrograms/cubic meter (25 C),0.0024,Tampa-St. Petersburg-Clearwater FL
Dichloromethane,2014,Parts per billion Carbon,0.08,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Flagstaff AZ
Cadmium PM10 STP,2012,Nanograms/cubic meter (25 C),0.07,Providence-Warwick RI-MA
Trichloroethylene,2003,Parts per billion Carbon,0.01,Corpus Christi TX
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,
Nickel PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Detroit-Warren-Dearborn MI
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0.003,
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Los Angeles-Long Beach-Anaheim CA
Benzene,2004,Parts per billion Carbon,5.7,Atlanta-Sandy Springs-Roswell GA
Carbon tetrachloride,2001,Parts per billion Carbon,0.08,San Diego-Carlsbad CA
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Boston-Cambridge-Newton MA-NH
Lead PM2.5 LC,2016,Micrograms/cubic meter (LC),0.001,Visalia-Porterville CA
cis-13-Dichloropropene,2009,Parts per billion Carbon,0,El Paso TX
Benzene,2004,Parts per billion Carbon,4.38,Austin-Round Rock TX
Carbon tetrachloride,2011,Parts per billion Carbon,0.11,Miami-Fort Lauderdale-West Palm Beach FL
cis-13-Dichloropropene,2011,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Manganese PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0015,Miami-Fort Lauderdale-West Palm Beach FL
12-Dichloropropane,1997,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Laramie WY
Vinyl chloride,2012,Parts per billion Carbon,0,Phoenix-Mesa-Scottsdale AZ
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Chromium (TSP) STP,1995,Micrograms/cubic meter (25 C),0.001,
Ethylene dichloride,2006,Parts per billion Carbon,0.02,Minneapolis-St. Paul-Bloomington MN-WI
Arsenic PM10 STP,2000,Nanograms/cubic meter (25 C),3,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00013,
Arsenic PM10 STP,2000,Nanograms/cubic meter (25 C),1,Fresno CA
Trichloroethylene,2010,Parts per billion Carbon,0.1,Winston-Salem NC
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.007,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00249,
Nickel PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Durango CO
Ethylene dibromide,2010,Parts per billion Carbon,0.1,Asheville NC
trans-13-Dichloropropene,2002,Parts per billion Carbon,0,Elkhart-Goshen IN
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Greeley CO
Cadmium PM10 STP,2013,Nanograms/cubic meter (25 C),0,Detroit-Warren-Dearborn MI
Benzene,2004,Parts per billion Carbon,8.029545,El Paso TX
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
cis-13-Dichloropropene,2011,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Dichloromethane,1999,Parts per billion Carbon,0.5,Riverside-San Bernardino-Ontario CA
Dichloromethane,2008,Parts per billion Carbon,0.06,Beaumont-Port Arthur TX
Ethylene dichloride,2006,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Benzene,1998,Parts per billion Carbon,2.4,San Francisco-Oakland-Hayward CA
13-Butadiene,2015,Parts per billion Carbon,0.116667,Dallas-Fort Worth-Arlington TX
Acrolein - Unverified,1996,Parts per billion Carbon,0.6,Burlington-South Burlington VT
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.011,Phoenix-Mesa-Scottsdale AZ
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Charleston-North Charleston SC
Trichloroethylene,2010,Parts per billion Carbon,0.07,Minneapolis-St. Paul-Bloomington MN-WI
trans-13-Dichloropropene,2004,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Formaldehyde,2012,Parts per billion Carbon,1.80646,San Jose-Sunnyvale-Santa Clara CA
Trichloroethylene,2015,Parts per billion Carbon,0.02,Los Angeles-Long Beach-Anaheim CA
Benzene,1997,Parts per billion Carbon,1.4,El Paso TX
Benzene,2016,Parts per billion Carbon,9,Milwaukee-Waukesha-West Allis WI
Manganese PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Grand Rapids-Wyoming MI
cis-13-Dichloropropene,2006,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Raleigh NC
Benzene,2012,Parts per billion Carbon,0.9,Winston-Salem NC
Ethylene dibromide,2007,Parts per billion Carbon,0,San Diego-Carlsbad CA
Arsenic PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Flagstaff AZ
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.001,Little Rock-North Little Rock-Conway AR
Arsenic PM10 STP,2003,Nanograms/cubic meter (25 C),1,New York-Newark-Jersey City NY-NJ-PA
Chloroform,1996,Parts per billion Carbon,0.02,Riverside-San Bernardino-Ontario CA
Nickel (TSP) STP,2001,Micrograms/cubic meter (25 C),0.011,
Nickel PM10 STP,1998,Nanograms/cubic meter (25 C),1,Clearlake CA
13-Butadiene,2004,Parts per billion Carbon,0.22,Seattle-Tacoma-Bellevue WA
Lead PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Miami-Fort Lauderdale-West Palm Beach FL
Acetaldehyde,2003,Parts per billion Carbon,1.3,Cadillac MI
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0015,St. Louis MO-IL
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Houston-The Woodlands-Sugar Land TX
Vinyl chloride,2002,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Lead PM10 STP,1992,Micrograms/cubic meter (25 C),0.02,
Manganese PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Dallas-Fort Worth-Arlington TX
Vinyl chloride,2004,Parts per billion Carbon,0,
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Kahului-Wailuku-Lahaina HI
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Atlantic City-Hammonton NJ
Manganese (TSP) STP,1994,Micrograms/cubic meter (25 C),0.071,St. Louis MO-IL
Vinyl chloride,2010,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Indianapolis-Carmel-Anderson IN
Manganese PM2.5 LC,2016,Micrograms/cubic meter (LC),-0.002,Cheyenne WY
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,
Ethylene dibromide,2001,Parts per billion Carbon,0,St. Louis MO-IL
1122-Tetrachloroethane,2003,Parts per billion Carbon,0.01,Corpus Christi TX
1122-Tetrachloroethane,2012,Parts per billion Carbon,0,Raleigh NC
Benzene,2004,Parts per billion Carbon,0.5,Providence-Warwick RI-MA
Lead PM2.5 LC,1991,Micrograms/cubic meter (LC),0.005,Duluth MN-WI
Acetaldehyde,1997,Parts per billion Carbon,1.3,Pittsburgh PA
Carbon tetrachloride,2001,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,Flagstaff AZ
Benzene,1997,Parts per billion Carbon,4.2,Baton Rouge LA
Dichloromethane,1999,Parts per billion Carbon,0.1,
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Dalton GA
13-Butadiene,1999,Parts per billion Carbon,0.3,
Manganese (TSP) STP,1995,Micrograms/cubic meter (25 C),0.042,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Brownsville-Harlingen TX
Lead PM2.5 LC,1997,Micrograms/cubic meter (LC),0.00182,Riverside-San Bernardino-Ontario CA
Benzene,1996,Parts per billion Carbon,1.5,Atlanta-Sandy Springs-Roswell GA
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Boston-Cambridge-Newton MA-NH
Lead PM10 STP,1992,Micrograms/cubic meter (25 C),0,
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Branson MO
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Jackson WY-ID
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0.00095,
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00018,Taos NM
Vinyl chloride,1996,Parts per billion Carbon,0.08,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00034,
Trichloroethylene,1992,Parts per billion Carbon,0.08,Birmingham-Hoover AL
Arsenic (TSP) STP,2010,Micrograms/cubic meter (25 C),0.00093,Ionia MI
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Fresno CA
Manganese PM2.5 LC,2016,Micrograms/cubic meter (LC),0.008,Seattle-Tacoma-Bellevue WA
Trichloroethylene,2015,Parts per billion Carbon,0,Grand Junction CO
13-Butadiene,2009,Parts per billion Carbon,0.24,Minneapolis-St. Paul-Bloomington MN-WI
Formaldehyde,2009,Parts per billion Carbon,1.1,Buffalo-Cheektowaga-Niagara Falls NY
Nickel PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Show Low AZ
trans-13-Dichloropropene,2014,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Tetrachloroethylene,2014,Parts per billion Carbon,0,Macon GA
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Tulsa OK
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Benzene,2005,Parts per billion Carbon,0.94381,El Paso TX
12-Dichloropropane,2014,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Benzene,2005,Parts per billion Carbon,1.5,Baton Rouge LA
Trichloroethylene,2013,Parts per billion Carbon,0,Corning NY
Dichloromethane,2007,Parts per billion Carbon,1.55,Pittsburgh PA
Carbon tetrachloride,1991,Parts per billion Carbon,0.07,Rochester NY
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Austin-Round Rock TX
13-Butadiene,2008,Parts per billion Carbon,0,Cedar Rapids IA
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Bishop CA
Arsenic PM2.5 LC,1991,Micrograms/cubic meter (LC),0,Flagstaff AZ
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00051,
Manganese (TSP) STP,2005,Micrograms/cubic meter (25 C),0.006,Hilton Head Island-Bluffton-Beaufort SC
12-Dichloropropane,1999,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Benzene,2009,Parts per billion Carbon,1.428,Chicago-Naperville-Elgin IL-IN-WI
Acetaldehyde,2013,Parts per billion Carbon,1.6,Richmond VA
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Tucson AZ
Trichloroethylene,2007,Parts per billion Carbon,0.08,Tulsa OK
Chloroform,2010,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Nickel PM2.5 LC,1999,Micrograms/cubic meter (LC),0,Glenwood Springs CO
Benzene,1998,Parts per billion Carbon,1.452917,Holland MI
Manganese (TSP) STP,1996,Micrograms/cubic meter (25 C),0.05,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Greenville-Anderson-Mauldin SC
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0.003,Chico CA
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
cis-13-Dichloropropene,2003,Parts per billion Carbon,0,Pittsburgh PA
Chloroform,2002,Parts per billion Carbon,0.03,Boston-Cambridge-Newton MA-NH
cis-13-Dichloropropene,2014,Parts per billion Carbon,0,Sanford NC
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,
Nickel (TSP) STP,1997,Micrograms/cubic meter (25 C),0,Greenville-Anderson-Mauldin SC
Cadmium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Birmingham-Hoover AL
Benzene,2013,Parts per billion Carbon,1.16,Baltimore-Columbia-Towson MD
Dichloromethane,2014,Parts per billion Carbon,0.17,New York-Newark-Jersey City NY-NJ-PA
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,
Acetaldehyde,1997,Parts per billion Carbon,1,Boston-Cambridge-Newton MA-NH
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),0,
Benzene,2005,Parts per billion Carbon,2.04,Houston-The Woodlands-Sugar Land TX
13-Butadiene,2013,Parts per billion Carbon,0,El Paso TX
13-Butadiene,2012,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Dichloromethane,2006,Parts per billion Carbon,0,Warner Robins GA
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.001,Colorado Springs CO
Trichloroethylene,2008,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Dichloromethane,2012,Parts per billion Carbon,0.08,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM10 STP,1993,Nanograms/cubic meter (25 C),0,Wichita KS
Chromium PM2.5 LC,1998,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Canton-Massillon OH
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),-0.001,Sierra Vista-Douglas AZ
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,1991,Parts per billion Carbon,0,Virginia Beach-Norfolk-Newport News VA-NC
Benzene,2010,Parts per billion Carbon,1.02,San Jose-Sunnyvale-Santa Clara CA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00182,
Dichloromethane,2003,Parts per billion Carbon,0,Kingsport-Bristol-Bristol TN-VA
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Lancaster PA
Benzene,2013,Parts per billion Carbon,0.7,Chicago-Naperville-Elgin IL-IN-WI
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00238,Branson MO
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),7e-05,
13-Butadiene,2006,Parts per billion Carbon,1.55,Houston-The Woodlands-Sugar Land TX
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Hickory-Lenoir-Morganton NC
Nickel (TSP) STP,2009,Micrograms/cubic meter (25 C),0.005,El Centro CA
Nickel PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,Fairbanks AK
13-Butadiene,2002,Parts per billion Carbon,0.52,Houston-The Woodlands-Sugar Land TX
Vinyl chloride,1993,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.011,San Diego-Carlsbad CA
12-Dichloropropane,2012,Parts per billion Carbon,0,Oklahoma City OK
Vinyl chloride,1999,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
1122-Tetrachloroethane,2013,Parts per billion Carbon,0,Wilmington NC
Acetaldehyde,2003,Parts per billion Carbon,1.7,New York-Newark-Jersey City NY-NJ-PA
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Houston-The Woodlands-Sugar Land TX
Tetrachloroethylene,2000,Parts per billion Carbon,0.1,San Francisco-Oakland-Hayward CA
Chromium (TSP) STP,2001,Micrograms/cubic meter (25 C),0.001,San Francisco-Oakland-Hayward CA
Formaldehyde,1999,Parts per billion Carbon,3.6,New York-Newark-Jersey City NY-NJ-PA
13-Butadiene,2003,Parts per billion Carbon,0,Douglas GA
Chromium (TSP) STP,1997,Micrograms/cubic meter (25 C),0.005,Sacramento--Roseville--Arden-Arcade CA
Ethylene dichloride,2003,Parts per billion Carbon,0,Napa CA
1122-Tetrachloroethane,2014,Parts per billion Carbon,0,Marshall TX
12-Dichloropropane,2004,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Arsenic PM10 STP,2014,Nanograms/cubic meter (25 C),0.4,Ogden-Clearfield UT
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Prescott AZ
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Klamath Falls OR
trans-13-Dichloropropene,2001,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
cis-13-Dichloropropene,2012,Parts per billion Carbon,0,St. Louis MO-IL
Benzene,2012,Parts per billion Carbon,1.6,Macon GA
Chromium (TSP) STP,1990,Micrograms/cubic meter (25 C),0.006,
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Klamath Falls OR
Chloroform,1991,Parts per billion Carbon,0.02,
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.006,New York-Newark-Jersey City NY-NJ-PA
Ethylene dibromide,1993,Parts per billion Carbon,0,Amarillo TX
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0.0045,Sacramento--Roseville--Arden-Arcade CA
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0.001,Omaha-Council Bluffs NE-IA
Chloroform,2005,Parts per billion Carbon,0.305,Jacksonville FL
Vinyl chloride,2001,Parts per billion Carbon,0.1,New York-Newark-Jersey City NY-NJ-PA
Ethylene dichloride,2004,Parts per billion Carbon,0,
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Missoula MT
Chloroform,2002,Parts per billion Carbon,0.04,Baltimore-Columbia-Towson MD
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Cadmium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Columbus GA-AL
cis-13-Dichloropropene,2014,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
Benzene,2015,Parts per billion Carbon,0.61,Oklahoma City OK
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.003,
13-Butadiene,2002,Parts per billion Carbon,0.221053,Dallas-Fort Worth-Arlington TX
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00017,San Jose-Sunnyvale-Santa Clara CA
Acetaldehyde,2002,Parts per billion Carbon,3.4,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
trans-13-Dichloropropene,2016,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Miami-Fort Lauderdale-West Palm Beach FL
Lead PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Houston-The Woodlands-Sugar Land TX
